name,total_count,rank,male_count,female_count,male_ratio
James,5213689,1,5190161,23528,0.9955
John,5163958,2,5142243,21715,0.9958
Robert,4849738,3,4829631,20107,0.9959
Michael,4405274,4,4383488,21786,0.9951
William,4159868,5,4143886,15982,0.9962
Mary,4145486,6,15172,4130314,0.0037
David,3651803,7,3638877,12926,0.9965
Joseph,2641826,8,2631147,10679,0.996
Richard,2578808,9,2569278,9530,0.9963
Charles,2418011,10,2405574,12437,0.9949
Thomas,2333549,11,2325071,8478,0.9964
Christopher,2052438,12,2042956,9482,0.9954
Daniel,1947282,13,1939068,8214,0.9958
Elizabeth,1658880,14,5191,1653689,0.0031
Matthew,1623591,15,1618050,5541,0.9966
Patricia,1577515,16,4961,1572554,0.0031
George,1483277,17,1473334,9943,0.9933
Jennifer,1473567,18,4837,1468730,0.0033
Anthony,1462787,19,1455708,7079,0.9952
Linda,1457165,20,3757,1453408,0.0026
Barbara,1439185,21,4136,1435049,0.0029
Donald,1418226,22,1412664,5562,0.9961
Paul,1397345,23,1391502,5843,0.9958
Mark,1359586,24,1355095,4491,0.9967
Andrew,1309207,25,1304284,4923,0.9962
Edward,1300479,26,1295118,5361,0.9959
Steven,1290712,27,1286247,4465,0.9965
Kenneth,1282888,28,1277550,5338,0.9958
Margaret,1257168,29,3742,1253426,0.003
Joshua,1227713,30,1222779,4934,0.996
Kevin,1180280,31,1174949,5331,0.9955
Brian,1172927,32,1168363,4564,0.9961
Susan,1124794,33,2543,1122251,0.0023
Dorothy,1112446,34,3677,1108769,0.0033
Sarah,1087607,35,3335,1084272,0.0031
Ronald,1083614,36,1079769,3845,0.9965
Timothy,1079420,37,1075095,4325,0.996
Jessica,1051458,38,3577,1047881,0.0034
Jason,1044518,39,1039497,5021,0.9952
Helen,1023646,40,3105,1020541,0.003
Nancy,1005950,41,2946,1003004,0.0029
Betty,1003725,42,3619,1000106,0.0036
Karen,989713,43,2780,986933,0.0028
Jeffrey,979953,44,976454,3499,0.9964
Ryan,968669,45,943436,25233,0.974
Lisa,968611,46,2787,965824,0.0029
Jacob,954005,47,951734,2271,0.9976
Frank,917321,48,912710,4611,0.995
Nicholas,912162,49,909030,3132,0.9966
Gary,904309,50,901024,3285,0.9964
Anna,903035,51,2751,900284,0.003
Eric,885635,52,881342,4293,0.9952
Sandra,877012,53,2691,874321,0.0031
Emily,867276,54,1773,865503,0.002
Ashley,865677,55,15721,849956,0.0182
Stephen,863147,56,860216,2931,0.9966
Jonathan,853557,57,850006,3551,0.9958
Kimberly,844244,58,4268,839976,0.0051
Donna,833347,59,2233,831114,0.0027
Ruth,830361,60,2779,827582,0.0033
Carol,825174,61,8656,816518,0.0105
Michelle,815880,62,3250,812630,0.004
Larry,809929,63,806371,3558,0.9956
Laura,800076,64,2579,797497,0.0032
Amanda,789433,65,2137,787296,0.0027
Justin,784658,66,780860,3798,0.9952
Samuel,780818,67,777969,2849,0.9964
Raymond,778681,68,775164,3517,0.9955
Benjamin,776278,69,773842,2436,0.9969
Scott,775276,70,772668,2608,0.9966
Brandon,766096,71,761951,4145,0.9946
Melissa,758634,72,2496,756138,0.0033
Rebecca,753048,73,2114,750934,0.0028
Stephanie,744611,74,2638,741973,0.0035
Deborah,742963,75,1659,741304,0.0022
Sharon,725167,76,3100,722067,0.0043
Henry,715956,77,711408,4548,0.9936
Jack,715026,78,712342,2684,0.9962
Kathleen,714162,79,1691,712471,0.0024
Gregory,711932,80,709071,2861,0.996
Cynthia,711851,81,1961,709890,0.0028
Emma,707552,82,1654,705898,0.0023
Alexander,699315,83,694837,4478,0.9936
Amy,696436,84,1846,694590,0.0027
Shirley,695247,85,9551,685696,0.0137
Patrick,681214,86,678380,2834,0.9958
Angela,669590,87,2136,667454,0.0032
Catherine,664696,88,1823,662873,0.0027
Virginia,652084,89,2009,650075,0.0031
Katherine,643993,90,1824,642169,0.0028
Jerry,630840,91,613528,17312,0.9726
Walter,628272,92,624640,3632,0.9942
Dennis,621605,93,618932,2673,0.9957
Tyler,610345,94,593468,16877,0.9723
Brenda,609651,95,2120,607531,0.0035
Frances,596544,96,5001,591543,0.0084
Aaron,596354,97,592018,4336,0.9927
Pamela,595969,98,1386,594583,0.0023
Willie,595556,99,449392,146164,0.7546
Evelyn,595215,100,1867,593348,0.0031
Nicole,591738,101,1960,589778,0.0033
Christine,587447,102,2032,585415,0.0035
Peter,582329,103,580391,1938,0.9967
Samantha,582173,104,1205,580968,0.0021
Jose,577258,105,573069,4189,0.9927
Alice,572559,106,1946,570613,0.0034
Rachel,569291,107,1791,567500,0.0031
Adam,564574,108,562522,2052,0.9964
Nathan,563043,109,561294,1749,0.9969
Douglas,560517,110,558442,2075,0.9963
Janet,557835,111,1517,556318,0.0027
Carolyn,557345,112,1620,555725,0.0029
Maria,555635,113,4255,551380,0.0077
Kelly,554190,114,81874,472316,0.1477
Harold,553066,115,550418,2648,0.9952
Debra,551644,116,1146,550498,0.0021
Martha,551531,117,1991,549540,0.0036
Zachary,542710,118,541186,1524,0.9972
Marie,539830,119,2195,537635,0.0041
Arthur,536669,120,533476,3193,0.9941
Heather,526528,121,1480,525048,0.0028
Terry,520385,122,423468,96917,0.8138
Diane,519626,123,1385,518241,0.0027
Jordan,515701,124,383200,132501,0.7431
Joyce,510935,125,2875,508060,0.0056
Julie,510823,126,1524,509299,0.003
Grace,510138,127,1358,508780,0.0027
Carl,506880,128,503689,3191,0.9937
Victoria,506710,129,1261,505449,0.0025
Albert,491999,130,489440,2559,0.9948
Rose,490771,131,2110,488661,0.0043
Kyle,490737,132,481946,8791,0.9821
Olivia,489456,133,732,488724,0.0015
Joan,486987,134,6662,480325,0.0137
Jean,482321,135,24277,458044,0.0503
Christina,479588,136,1990,477598,0.0041
Lauren,476817,137,5797,471020,0.0122
Ann,470481,138,1363,469118,0.0029
Julia,466082,139,1743,464339,0.0037
Doris,465392,140,3241,462151,0.007
Joe,463186,141,451868,11318,0.9756
Lawrence,460558,142,458416,2142,0.9953
Lillian,455882,143,1429,454453,0.0031
Judith,454357,144,1241,453116,0.0027
Kathryn,454284,145,1092,453192,0.0024
Mildred,452474,146,1583,450891,0.0035
Christian,452130,147,432454,19676,0.9565
Gerald,450339,148,447954,2385,0.9947
Ethan,446752,149,446042,710,0.9984
Hannah,444864,150,705,444159,0.0016
Andrea,443110,151,5936,437174,0.0134
Roger,442082,152,440393,1689,0.9962
Jeremy,441942,153,439630,2312,0.9948
Cheryl,440304,154,980,439324,0.0022
Megan,439175,155,1104,438071,0.0025
Keith,438249,156,436033,2216,0.9949
Taylor,435595,157,111327,324268,0.2556
Jesse,434769,158,422625,12144,0.9721
Noah,433983,159,431336,2647,0.9939
Sara,429350,160,1237,428113,0.0029
Austin,425774,161,420778,4996,0.9883
Jacqueline,424530,162,1391,423139,0.0033
Harry,424143,163,422126,2017,0.9952
Sean,422852,164,419898,2954,0.993
Teresa,415576,165,1164,414412,0.0028
Ralph,414896,166,413056,1840,0.9956
Gloria,414650,167,1738,412912,0.0042
Roy,408572,168,405885,2687,0.9934
Janice,407169,169,1158,406011,0.0028
Alexis,405626,170,64889,340737,0.16
Theresa,405114,171,1218,403896,0.003
Louis,402022,172,399192,2830,0.993
Madison,401087,173,7720,393367,0.0192
Dylan,398187,174,384185,14002,0.9648
Charlotte,388932,175,712,388220,0.0018
Billy,388529,176,383165,5364,0.9862
Bryan,385744,177,384032,1712,0.9956
Bruce,385502,178,384106,1396,0.9964
Abigail,384086,179,652,383434,0.0017
Judy,383459,180,1094,382365,0.0029
Beverly,382074,181,4633,377441,0.0121
Eugene,382016,182,379385,2631,0.9931
Leslie,380951,183,112808,268143,0.2961
Logan,380188,184,352695,27493,0.9277
Sophia,377481,185,469,377012,0.0012
Jane,375024,186,1134,373890,0.003
Denise,374033,187,1363,372670,0.0036
Amber,372832,188,979,371853,0.0026
Marilyn,372812,189,1066,371746,0.0029
Danielle,370484,190,1895,368589,0.0051
Gabriel,367834,191,361070,6764,0.9816
Diana,363168,192,1286,361882,0.0035
Natalie,362379,193,762,361617,0.0021
Ruby,361811,194,3032,358779,0.0084
Isabella,361449,195,410,361039,0.0011
Brittany,360152,196,1078,359074,0.003
Russell,357008,197,355312,1696,0.9952
Juan,355733,198,352984,2749,0.9923
Jamie,355347,199,86309,269038,0.2429
Annie,354622,200,1922,352700,0.0054
Wayne,354580,201,352976,1604,0.9955
Irene,354508,202,1344,353164,0.0038
Alan,354144,203,353068,1076,0.997
Vincent,349005,204,347608,1397,0.996
Shannon,347415,205,52137,295278,0.1501
Howard,347222,206,345545,1677,0.9952
Fred,345224,207,343195,2029,0.9941
Philip,342093,208,340956,1137,0.9967
Lori,342043,209,853,341190,0.0025
Kayla,341982,210,575,341407,0.0017
Tiffany,338503,211,1191,337312,0.0035
Angel,338457,212,241248,97209,0.7128
Florence,337547,213,1441,336106,0.0043
Shawn,337127,214,304128,32999,0.9021
Louise,336051,215,2183,333868,0.0065
Robin,335563,216,45342,290221,0.1351
Lois,334962,217,2638,332324,0.0079
Kathy,334531,218,739,333792,0.0022
Randy,333277,219,328296,4981,0.9851
Tammy,333240,220,1392,331848,0.0042
Crystal,332154,221,1185,330969,0.0036
Bonnie,329392,222,4032,325360,0.0122
Erin,323802,223,9332,314470,0.0288
Bobby,323675,224,314037,9638,0.9702
Victor,323512,225,321705,1807,0.9944
Anne,323458,226,827,322631,0.0026
Phyllis,323304,227,871,322433,0.0027
Elijah,322278,228,321098,1180,0.9963
Ella,321388,229,886,320502,0.0028
Johnny,317963,230,314215,3748,0.9882
Cameron,317202,231,288147,29055,0.9084
Francis,316396,232,287036,29360,0.9072
Josephine,314436,233,986,313450,0.0031
Tracy,312318,234,61312,251006,0.1963
Martin,311518,235,310042,1476,0.9953
Phillip,310446,236,309114,1332,0.9957
Alyssa,310118,237,432,309686,0.0014
Bradley,310047,238,308355,1692,0.9945
Allison,309152,239,3799,305353,0.0123
Mason,308058,240,305015,3043,0.9901
Travis,306476,241,304360,2116,0.9931
Clarence,304796,242,302937,1859,0.9939
Ernest,303319,243,301464,1855,0.9939
Eleanor,301600,244,613,300987,0.002
Stanley,301353,245,299916,1437,0.9952
Craig,300117,246,299105,1012,0.9966
Dale,299354,247,277488,21866,0.927
Isaac,299071,248,298315,756,0.9975
Caleb,296407,249,295792,615,0.9979
Carlos,296222,250,294192,2030,0.9931
Edna,295626,251,1042,294584,0.0035
Lee,293941,252,231752,62189,0.7884
Ava,293852,253,314,293538,0.0011
Leonard,293703,254,292291,1412,0.9952
Peggy,293470,255,798,292672,0.0027
Audrey,292701,256,2915,289786,0.01
Tina,292670,257,905,291765,0.0031
Cody,291449,258,286415,5034,0.9827
Earl,291041,259,288793,2248,0.9923
Dawn,290208,260,1034,289174,0.0036
Jimmy,289380,261,287162,2218,0.9923
Luke,287010,262,286476,534,0.9981
Clara,286832,263,1016,285816,0.0035
Alex,286304,264,277035,9269,0.9676
Danny,285888,265,284269,1619,0.9943
Rita,284382,266,778,283604,0.0027
Todd,282897,267,281837,1060,0.9963
Wanda,282057,268,972,281085,0.0034
Courtney,280669,269,22811,257858,0.0813
Luis,280632,270,279113,1519,0.9946
Ethel,280273,271,1490,278783,0.0053
Paula,279967,272,902,279065,0.0032
Norma,278896,273,1278,277618,0.0046
Jessie,278828,274,110561,168267,0.3965
Evan,278379,275,274005,4374,0.9843
Lucas,276879,276,276392,487,0.9982
Nathaniel,274943,277,273789,1154,0.9958
Ellen,274729,278,744,273985,0.0027
Hazel,274058,279,2737,271321,0.01
Joel,273550,280,270984,2566,0.9906
Connie,273482,281,6957,266525,0.0254
Marjorie,273460,282,594,272866,0.0022
Eva,273365,283,1001,272364,0.0037
Allen,270955,284,269089,1866,0.9931
Edith,268645,285,825,267820,0.0031
Gladys,267452,286,1023,266429,0.0038
Carrie,267209,287,1190,266019,0.0045
Valerie,263889,288,693,263196,0.0026
Frederick,263792,289,262687,1105,0.9958
Adrian,263531,290,248122,15409,0.9415
Wendy,262318,291,952,261366,0.0036
Esther,261533,292,967,260566,0.0037
Curtis,261483,293,259161,2322,0.9911
Theodore,261033,294,260120,913,0.9965
Marion,260844,295,72208,188636,0.2768
Morgan,260401,296,43011,217390,0.1652
Elaine,259533,297,654,258879,0.0025
Jackson,259392,298,258709,683,0.9974
Hunter,258121,299,245432,12689,0.9508
Vanessa,257522,300,983,256539,0.0038
Cindy,257484,301,770,256714,0.003
Brianna,256873,302,428,256445,0.0017
Antonio,254388,303,252413,1975,0.9922
Norman,253943,304,252340,1603,0.9937
Marvin,253602,305,251987,1615,0.9936
Liam,253444,306,253047,397,0.9984
Mia,253293,307,323,252970,0.0013
Tony,252772,308,249883,2889,0.9886
Melanie,252378,309,614,251764,0.0024
Jasmine,251719,310,1261,250458,0.005
Monica,250256,311,983,249273,0.0039
Glenn,250136,312,248000,2136,0.9915
Rodney,247284,313,246109,1175,0.9952
Jayden,246229,314,224729,21500,0.9127
Melvin,245572,315,243433,2139,0.9913
Dana,245490,316,53162,192328,0.2166
Edwin,244381,317,243190,1191,0.9951
Alfred,243749,318,242457,1292,0.9947
Sylvia,241906,319,908,240998,0.0038
Steve,241604,320,240698,906,0.9963
Chad,241240,321,240201,1039,0.9957
April,240617,322,667,239950,0.0028
Sheila,238901,323,648,238253,0.0027
Katie,238870,324,499,238371,0.0021
Alexandra,238766,325,864,237902,0.0036
Ian,236523,326,235750,773,0.9967
Leah,236249,327,460,235789,0.0019
Caroline,236167,328,309,235858,0.0013
Jesus,235888,329,233224,2664,0.9887
Marcus,235661,330,234324,1337,0.9943
Lynn,234386,331,52303,182083,0.2231
Derek,233926,332,233016,910,0.9961
Erica,231755,333,1025,230730,0.0044
Jeffery,231024,334,229755,1269,0.9945
Julian,230875,335,227692,3183,0.9862
Sherry,230781,336,976,229805,0.0042
Herbert,229080,337,227963,1117,0.9951
Alicia,227842,338,707,227135,0.0031
Lucille,227445,339,750,226695,0.0033
Isaiah,227391,340,226750,641,0.9972
Pauline,226890,341,775,226115,0.0034
Thelma,226457,342,1142,225315,0.005
Wesley,226139,343,223449,2690,0.9881
Eddie,226119,344,210404,15715,0.9305
Michele,225886,345,2732,223154,0.0121
Aiden,225222,346,223233,1989,0.9912
Ricky,223558,347,221658,1900,0.9915
Chloe,223038,348,338,222700,0.0015
Leo,221567,349,219565,2002,0.991
Connor,221395,350,219774,1621,0.9927
Veronica,220788,351,835,219953,0.0038
Kristen,220240,352,2140,218100,0.0097
Suzanne,219467,353,492,218975,0.0022
Amelia,217761,354,240,217521,0.0011
Vivian,216046,355,2571,213475,0.0119
Troy,215758,356,213109,2649,0.9877
Anita,215041,357,684,214357,0.0032
Riley,214993,358,97035,117958,0.4513
Kim,214528,359,34899,179629,0.1627
Dolores,212451,360,1336,211115,0.0063
Lucy,212102,361,631,211471,0.003
Joanne,212083,362,504,211579,0.0024
Geraldine,211526,363,748,210778,0.0035
Gail,210602,364,8951,201651,0.0425
Lorraine,209926,365,935,208991,0.0045
Calvin,209322,366,208122,1200,0.9943
Bertha,208642,367,937,207705,0.0045
Ray,208583,368,203106,5477,0.9737
Rhonda,208583,369,589,207994,0.0028
Jill,208473,370,502,207971,0.0024
Juanita,208327,371,991,207336,0.0048
Dustin,207670,372,206289,1381,0.9934
Jeremiah,206524,373,205856,668,0.9968
Owen,205869,374,205342,527,0.9974
Mike,205568,375,204906,662,0.9968
Oscar,205535,376,204465,1070,0.9948
Darlene,205004,377,604,204400,0.0029
Sally,204901,378,647,204254,0.0032
Holly,203294,379,1541,201753,0.0076
Jared,202833,380,202065,768,0.9962
Charlie,202665,381,173448,29217,0.8558
Leroy,200754,382,199572,1182,0.9941
Bernard,200374,383,199391,983,0.9951
June,199822,384,3328,196494,0.0167
Avery,199364,385,59381,139983,0.2979
Randall,199030,386,197875,1155,0.9942
Claire,196952,387,2199,194753,0.0112
Oliver,195251,388,194606,645,0.9967
Brooke,195110,389,2024,193086,0.0104
Jay,193775,390,191254,2521,0.987
Shane,193476,391,189943,3533,0.9817
Madeline,193371,392,245,193126,0.0013
Beatrice,192927,393,733,192194,0.0038
Blake,192529,394,179275,13254,0.9312
Corey,191865,395,182913,8952,0.9533
Ronnie,189599,396,181843,7756,0.9591
Clifford,189555,397,187536,2019,0.9893
Casey,188567,398,111726,76841,0.5925
Debbie,188154,399,435,187719,0.0023
Manuel,187768,400,186615,1153,0.9939
Eileen,187700,401,406,187294,0.0022
Ida,187566,402,766,186800,0.0041
Renee,186333,403,1598,184735,0.0086
Stacy,185458,404,22191,163267,0.1197
Bernice,185323,405,3403,181920,0.0184
Stella,184732,406,382,184350,0.0021
Dean,183444,407,180554,2890,0.9842
Sydney,182122,408,9250,172872,0.0508
Elsie,182107,409,886,181221,0.0049
Miguel,182004,410,181014,990,0.9946
Carter,181814,411,174840,6974,0.9616
Gavin,181530,412,181149,381,0.9979
Barry,181430,413,180664,766,0.9958
Kristin,180773,414,1638,179135,0.0091
Jo,180692,415,1826,178866,0.0101
Regina,180516,416,564,179952,0.0031
Tommy,179659,417,176826,2833,0.9842
Warren,179579,418,178660,919,0.9949
Savannah,177605,419,212,177393,0.0012
Gertrude,177523,420,568,176955,0.0032
Dominic,177138,421,175934,1204,0.9932
Rosa,176234,422,1173,175061,0.0067
Loretta,176111,423,501,175610,0.0028
Tara,175108,424,543,174565,0.0031
Wyatt,174392,425,173622,770,0.9956
Sebastian,173734,426,173390,344,0.998
Lydia,173253,427,276,172977,0.0016
Chase,172489,428,168897,3592,0.9792
Roberta,172022,429,782,171240,0.0045
Leon,171834,430,170405,1429,0.9917
Bessie,170807,431,737,170070,0.0043
Cathy,170549,432,343,170206,0.002
Devin,169897,433,152791,17106,0.8993
Jackie,169458,434,78608,90850,0.4639
Naomi,169075,435,279,168796,0.0017
Cassandra,169020,436,377,168643,0.0022
Landon,168980,437,167982,998,0.9941
Annette,168948,438,499,168449,0.003
Molly,168871,439,360,168511,0.0021
Chris,168392,440,145473,22919,0.8639
Don,168336,441,167129,1207,0.9928
Laurie,168187,442,1954,166233,0.0116
Jon,168072,443,166822,1250,0.9926
Levi,167599,444,166528,1071,0.9936
Hailey,167348,445,265,167083,0.0016
Kaitlyn,164626,446,232,164394,0.0014
Lindsey,164368,447,7721,156647,0.047
Mitchell,163778,448,162650,1128,0.9931
Jeanette,163635,449,537,163098,0.0033
Jeanne,163428,450,361,163067,0.0022
Seth,163387,451,162892,495,0.997
Nora,162851,452,776,162075,0.0048
Colleen,162748,453,330,162418,0.002
Shelby,162613,454,16228,146385,0.0998
Alma,162584,455,2191,160393,0.0135
Brett,161514,456,158189,3325,0.9794
Lloyd,161471,457,160472,999,0.9938
Jerome,161428,458,160367,1061,0.9934
Stacey,161387,459,13926,147461,0.0863
Chelsea,161346,460,452,160894,0.0028
Pearl,161177,461,3921,157256,0.0243
Bill,161098,462,160382,716,0.9956
Alvin,160808,463,159710,1098,0.9932
Darrell,160356,464,159170,1186,0.9926
Minnie,159775,465,787,158988,0.0049
Beth,159535,466,325,159210,0.002
Trevor,159144,467,158533,611,0.9962
Lily,158955,468,145,158810,0.0009
Agnes,158826,469,465,158361,0.0029
Rosemary,158475,470,358,158117,0.0023
Haley,158148,471,836,157312,0.0053
Lillie,157777,472,873,156904,0.0055
Joann,157144,473,558,156586,0.0036
Max,157079,474,156229,850,0.9946
Yvonne,156303,475,619,155684,0.004
Georgia,156186,476,728,155458,0.0047
Micheal,155791,477,153955,1836,0.9882
Carmen,155736,478,16665,139071,0.107
Floyd,155402,479,154025,1377,0.9911
Erik,154804,480,154138,666,0.9957
Gordon,154454,481,153784,670,0.9957
Edgar,154342,482,153637,705,0.9954
Jim,153775,483,152959,816,0.9947
Vicki,153533,484,294,153239,0.0019
Kelsey,153491,485,5255,148236,0.0342
Lewis,153236,486,152366,870,0.9943
Gina,152934,487,405,152529,0.0026
Violet,152780,488,268,152512,0.0018
Nellie,150804,489,593,150211,0.0039
Johnnie,150727,490,101727,49000,0.6749
Aubrey,150545,491,30495,120050,0.2026
Carla,149544,492,425,149119,0.0028
Destiny,148762,493,519,148243,0.0035
Sofia,148425,494,151,148274,0.001
Mario,148196,495,147103,1093,0.9926
Vernon,147761,496,145785,1976,0.9866
Clyde,147083,497,143151,3932,0.9733
Terri,146894,498,915,145979,0.0062
Jenna,146522,499,257,146265,0.0018
Daisy,146124,500,626,145498,0.0043
Heidi,145343,501,361,144982,0.0025
Sue,145008,502,519,144489,0.0036
Derrick,144563,503,143566,997,0.9931
Maureen,144440,504,328,144112,0.0023
Xavier,143569,505,142726,843,0.9941
Addison,143513,506,13069,130444,0.0911
Paige,143373,507,1335,142038,0.0093
Vera,143003,508,397,142606,0.0028
Arlene,142777,509,362,142415,0.0025
Ricardo,142687,510,141974,713,0.995
Cora,142494,511,387,142107,0.0027
Cole,142470,512,141965,505,0.9965
Marian,142257,513,1345,140912,0.0095
Lena,140956,514,326,140630,0.0023
Faith,140837,515,250,140587,0.0018
Wilma,140641,516,754,139887,0.0054
Marc,140185,517,139653,532,0.9962
Tom,140072,518,139458,614,0.9956
Constance,139753,519,419,139334,0.003
Brent,139749,520,139182,567,0.9959
Mackenzie,139711,521,7446,132265,0.0533
Joy,139577,522,2534,137043,0.0182
Ivan,139046,523,138398,648,0.9953
Sabrina,138740,524,348,138392,0.0025
Franklin,138311,525,137569,742,0.9946
Alejandro,137918,526,137072,846,0.9939
Maurice,137714,527,135103,2611,0.981
Francisco,137489,528,136535,954,0.9931
Zoe,137271,529,504,136767,0.0037
Myrtle,136960,530,498,136462,0.0036
Mabel,136785,531,409,136376,0.003
Gabrielle,136632,532,767,135865,0.0056
Herman,136485,533,135690,795,0.9942
Kristina,136391,534,352,136039,0.0026
Melinda,135694,535,338,135356,0.0025
Jimmie,135027,536,112046,22981,0.8298
Lindsay,134954,537,5131,129823,0.038
Deanna,134269,538,266,134003,0.002
Clayton,134174,539,133582,592,0.9956
Jorge,134167,540,133478,689,0.9949
Billie,133559,541,31593,101966,0.2365
Charlene,133558,542,382,133176,0.0029
Gene,133478,543,126486,6992,0.9476
Marcia,133410,544,284,133126,0.0021
Garrett,133052,545,132600,452,0.9966
Eli,133036,546,132206,830,0.9938
Parker,132921,547,112257,20664,0.8445
Colton,132786,548,132596,190,0.9986
Cory,132764,549,126244,6520,0.9509
Katelyn,132659,550,157,132502,0.0012
Mattie,132574,551,780,131794,0.0059
Kaylee,132416,552,176,132240,0.0013
Viola,132270,553,434,131836,0.0033
Sadie,131771,554,235,131536,0.0018
Hayden,131673,555,102642,29031,0.7795
Lester,131510,556,130151,1359,0.9897
Tamara,131124,557,417,130707,0.0032
Autumn,130532,558,300,130232,0.0023
Elmer,130489,559,128736,1753,0.9866
Marlene,130104,560,359,129745,0.0028
Gilbert,130028,561,129355,673,0.9948
Alexa,129423,562,284,129139,0.0022
Nina,129114,563,250,128864,0.0019
Colin,128683,564,128243,440,0.9966
Grant,128625,565,128418,207,0.9984
Claudia,127877,566,759,127118,0.0059
Peyton,127644,567,49865,77779,0.3907
Andre,127550,568,125345,2205,0.9827
Jennie,127256,569,479,126777,0.0038
Patsy,127056,570,7713,119343,0.0607
Glen,126701,571,125353,1348,0.9894
Sam,126603,572,125122,1481,0.9883
Brayden,126190,573,125175,1015,0.992
Jake,125517,574,125300,217,0.9983
Erika,125108,575,548,124560,0.0044
Isabel,124800,576,1822,122978,0.0146
Spencer,123722,577,119195,4527,0.9634
Carson,123685,578,116473,7212,0.9417
Gabriella,123683,579,68,123615,0.0005
Dakota,123641,580,87991,35650,0.7117
Bailey,123573,581,21052,102521,0.1704
Tristan,123335,582,116907,6428,0.9479
Harvey,123227,583,122469,758,0.9938
Chester,121821,584,120993,828,0.9932
Angelina,121347,585,111,121236,0.0009
Bryce,121158,586,117921,3237,0.9733
Tonya,120791,587,435,120356,0.0036
Priscilla,120626,588,245,120381,0.002
Gwendolyn,120625,589,333,120292,0.0028
Josiah,120597,590,120186,411,0.9966
Sophie,120581,591,111,120470,0.0009
Marissa,120324,592,270,120054,0.0022
Jeff,120321,593,120058,263,0.9978
Jaime,119014,594,69157,49857,0.5811
Delores,118159,595,430,117729,0.0036
Maggie,118052,596,282,117770,0.0024
Milton,117866,597,117251,615,0.9948
Preston,117360,598,116644,716,0.9939
Tanya,117018,599,405,116613,0.0035
Everett,116214,600,115374,840,0.9928
Duane,116107,601,115092,1015,0.9913
Genevieve,116041,602,151,115890,0.0013
Aidan,115404,603,112726,2678,0.9768
Kylie,114402,604,443,113959,0.0039
Alison,114124,605,589,113535,0.0052
Cecil,114073,606,106391,7682,0.9327
Ruben,113995,607,113340,655,0.9943
Maxine,113307,608,377,112930,0.0033
Yolanda,113159,609,537,112622,0.0047
Micah,112847,610,100178,12669,0.8877
Diego,112814,611,112580,234,0.9979
Miranda,112621,612,183,112438,0.0016
Mae,112412,613,601,111811,0.0053
Brooklyn,112162,614,1587,110575,0.0141
Caitlin,111988,615,283,111705,0.0025
Miriam,111851,616,281,111570,0.0025
Reginald,111374,617,110617,757,0.9932
Mariah,111042,618,183,110859,0.0016
Carole,110929,619,264,110665,0.0024
Nolan,110684,620,110273,411,0.9963
Roberto,110631,621,109796,835,0.9925
Leona,110482,622,294,110188,0.0027
Vickie,110399,623,388,110011,0.0035
Glenda,109398,624,295,109103,0.0027
Jocelyn,108766,625,351,108415,0.0032
Brandy,108571,626,2265,106306,0.0209
Sidney,107564,627,83459,24105,0.7759
Ariana,107080,628,191,106889,0.0018
Joanna,107042,629,306,106736,0.0029
Bobbie,106689,630,18402,88287,0.1725
Dan,106671,631,106119,552,0.9948
Harper,106394,632,6180,100214,0.0581
Margie,106303,633,403,105900,0.0038
Eduardo,106121,634,105688,433,0.9959
Dora,106093,635,550,105543,0.0052
Ana,105037,636,597,104440,0.0057
Hector,104876,637,104395,481,0.9954
Lance,104705,638,104360,345,0.9967
Makayla,104634,639,152,104482,0.0015
Marsha,104368,640,250,104118,0.0024
Arnold,103836,641,103286,550,0.9947
Neil,103695,642,103310,385,0.9963
Darren,103266,643,102697,569,0.9945
Maya,103254,644,162,103092,0.0016
Whitney,102343,645,5913,96430,0.0578
Kay,102270,646,3868,98402,0.0378
Brandi,102061,647,389,101672,0.0038
Hattie,101680,648,494,101186,0.0049
Melody,101500,649,170,101330,0.0017
Javier,101342,650,100854,488,0.9952
Toni,101206,651,1513,99693,0.0149
Karl,101191,652,100276,915,0.991
Katrina,101134,653,238,100896,0.0024
Alexandria,100977,654,230,100747,0.0023
Lonnie,100909,655,94016,6893,0.9317
Cecilia,100720,656,177,100543,0.0018
Kara,100539,657,282,100257,0.0028
Christy,100307,658,1945,98362,0.0194
Layla,100195,659,95,100100,0.0009
Omar,100125,660,99669,456,0.9954
Grayson,99390,661,95534,3856,0.9612
Ada,99151,662,277,98874,0.0028
Fernando,99064,663,98474,590,0.994
Roland,99022,664,98660,362,0.9963
Bethany,99013,665,184,98829,0.0019
Penny,98999,666,384,98615,0.0039
Maxwell,98717,667,98170,547,0.9945
Madelyn,98448,668,43,98405,0.0004
Kerry,98322,669,49727,48595,0.5058
Sierra,98150,670,269,97881,0.0027
Isabelle,97794,671,20,97774,0.0002
Clinton,97466,672,97033,433,0.9956
Kendra,96762,673,350,96412,0.0036
Cooper,96694,674,94675,2019,0.9791
Natasha,96529,675,285,96244,0.003
Tanner,96117,676,93818,2299,0.9761
Arianna,96000,677,73,95927,0.0008
Ashton,95980,678,76905,19075,0.8013
Kendall,95946,679,34458,61488,0.3591
Meghan,95781,680,226,95555,0.0024
Johnathan,95410,681,95061,349,0.9963
Dianne,95374,682,186,95188,0.002
Allan,95310,683,95057,253,0.9973
Abraham,95220,684,95012,208,0.9978
Tracey,95104,685,8650,86454,0.091
Aaliyah,94808,686,101,94707,0.0011
